ward code,ward name,local authority code,local authority name,Usual residents aged 3+,Main language is English,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
E09000001,City of London (aggregated),E09000001,City of London,8444,6621,1301,384,118,20
E05014053,Abbey,E09000002,Barking and Dagenham,3724,2118,704,609,251,42
E05014054,Alibon,E09000002,Barking and Dagenham,9477,7244,812,951,422,48
E05014055,Barking Riverside,E09000002,Barking and Dagenham,9371,7293,930,807,284,57
E05014056,Beam,E09000002,Barking and Dagenham,8023,6109,711,793,346,64
E05014057,Becontree,E09000002,Barking and Dagenham,9397,7089,865,975,419,49
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,13228,10469,1135,1069,496,59
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,8461,7132,550,542,206,31
E05014060,Eastbury,E09000002,Barking and Dagenham,15064,11286,1324,1605,765,84
E05014061,Gascoigne,E09000002,Barking and Dagenham,10016,7016,1264,1153,512,71
E05014062,Goresbrook,E09000002,Barking and Dagenham,13128,10344,1037,1144,529,74
E05014063,Heath,E09000002,Barking and Dagenham,8718,7072,667,653,276,50
E05014064,Longbridge,E09000002,Barking and Dagenham,12798,9694,1156,1158,679,111
E05014065,Mayesbrook,E09000002,Barking and Dagenham,14880,11132,1492,1494,662,100
E05014066,Northbury,E09000002,Barking and Dagenham,12504,8049,1531,1847,934,143
E05014067,Parsloes,E09000002,Barking and Dagenham,14572,11422,1170,1313,589,78
E05014068,Thames View,E09000002,Barking and Dagenham,5415,4193,393,529,271,29
E05014069,Valence,E09000002,Barking and Dagenham,14606,11455,1226,1284,542,99
E05014070,Village,E09000002,Barking and Dagenham,12077,9620,911,1009,480,57
E05014071,Whalebone,E09000002,Barking and Dagenham,13430,9926,1447,1367,623,67
E05013628,Barnet Vale,E09000003,Barnet,16515,14086,1123,900,351,55
E05013629,Brunswick Park,E09000003,Barnet,15761,13022,1283,975,410,71
E05013630,Burnt Oak,E09000003,Barnet,20739,14072,2528,2844,1133,162
E05013631,Childs Hill,E09000003,Barnet,18734,13914,2288,1656,767,109
E05013632,Colindale North,E09000003,Barnet,12127,8213,1544,1502,720,148
E05013633,Colindale South,E09000003,Barnet,18200,11514,3046,2464,1041,135
E05013634,Cricklewood,E09000003,Barnet,9996,6911,1207,1217,582,79
E05013635,East Barnet,E09000003,Barnet,17337,14648,1179,1006,437,67
E05013636,East Finchley,E09000003,Barnet,15824,12777,1613,992,388,54
E05013637,Edgware,E09000003,Barnet,19046,14971,1836,1540,596,103
E05013638,Edgwarebury,E09000003,Barnet,11926,9799,923,830,330,44
E05013639,Finchley Church End,E09000003,Barnet,18203,14348,1849,1321,609,76
E05013640,Friern Barnet,E09000003,Barnet,18409,14226,1935,1454,691,103
E05013641,Garden Suburb,E09000003,Barnet,12233,10575,974,462,192,30
E05013642,Golders Green,E09000003,Barnet,14307,11577,1262,981,433,54
E05013643,Hendon,E09000003,Barnet,21048,15403,2447,2197,904,97
E05013644,High Barnet,E09000003,Barnet,11645,10228,792,426,164,35
E05013645,Mill Hill,E09000003,Barnet,17161,14026,1500,1130,446,59
E05013646,Totteridge & Woodside,E09000003,Barnet,14423,11731,1393,867,374,58
E05013647,Underhill,E09000003,Barnet,11925,10087,921,642,229,46
E05013648,West Finchley,E09000003,Barnet,18650,13464,2412,1801,829,144
E05013649,West Hendon,E09000003,Barnet,16590,10451,2479,2536,979,145
E05013650,Whetstone,E09000003,Barnet,10525,8686,873,636,283,47
E05013651,Woodhouse,E09000003,Barnet,13828,10352,1488,1307,590,91
E05011217,Barnehurst,E09000004,Bexley,11276,10474,384,296,105,17
E05011218,Belvedere,E09000004,Bexley,16873,14055,1180,1072,489,77
E05011219,Bexleyheath,E09000004,Bexley,15390,13997,710,467,184,32
E05011220,Blackfen & Lamorbey,E09000004,Bexley,15602,14756,458,263,103,22
E05011221,Blendon & Penhill,E09000004,Bexley,15009,14337,383,173,96,20
E05011222,Crayford,E09000004,Bexley,15361,14074,645,447,171,24
E05011223,Crook Log,E09000004,Bexley,15368,13936,820,391,193,28
E05011224,East Wickham,E09000004,Bexley,15652,13523,1054,694,314,67
E05011225,Erith,E09000004,Bexley,12093,10474,743,597,239,40
E05011226,Falconwood & Welling,E09000004,Bexley,16079,14141,990,634,276,38
E05011227,Longlands,E09000004,Bexley,9698,9175,295,177,45,6
E05011228,Northumberland Heath,E09000004,Bexley,10671,9759,406,344,141,21
E05011229,St Mary's & St James,E09000004,Bexley,10486,9985,276,151,62,12
E05011230,Sidcup,E09000004,Bexley,15216,14181,544,333,137,21
E05011231,Slade Green & Northend,E09000004,Bexley,12331,11093,615,433,169,21
E05011232,Thamesmead East,E09000004,Bexley,15349,13188,916,760,403,82
E05011233,West Heath,E09000004,Bexley,15193,13828,720,415,193,37
E05013496,Alperton,E09000005,Brent,14468,7236,2320,2674,1737,501
E05013497,Barnhill,E09000005,Brent,11053,7486,1398,1438,638,93
E05013498,Brondesbury Park,E09000005,Brent,13176,9844,1606,1114,493,119
E05013499,Cricklewood & Mapesbury,E09000005,Brent,13508,9449,1773,1492,670,124
E05013500,Dollis Hill,E09000005,Brent,20787,13445,2477,2971,1586,308
E05013501,Harlesden & Kensal Green,E09000005,Brent,19391,14078,1929,2137,1069,178
E05013502,Kenton,E09000005,Brent,17143,11171,2606,2211,975,180
E05013503,Kilburn,E09000005,Brent,16663,12555,2011,1422,581,94
E05013504,Kingsbury,E09000005,Brent,10982,7177,1495,1491,719,100
E05013505,Northwick Park,E09000005,Brent,11785,8046,1734,1388,523,94
E05013506,Preston,E09000005,Brent,11924,7132,1851,2002,801,138
E05013507,Queens Park,E09000005,Brent,16434,13339,1581,984,445,85
E05013508,Queensbury,E09000005,Brent,16289,9636,2490,2857,1123,183
E05013509,Roundwood,E09000005,Brent,15996,11174,1708,1919,1029,166
E05013510,Stonebridge,E09000005,Brent,19478,14371,1852,2004,1072,179
E05013511,Sudbury,E09000005,Brent,13269,7699,2186,2241,997,146
