ward name,borough,Usual residents aged 3+,Main language is English,Main language is English percentage,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
City of London (aggregated),City of London,8444,6621,78,1301,384,118,20
Abbey,Barking and Dagenham,3724,2118,57,704,609,251,42
Alibon,Barking and Dagenham,9477,7244,76,812,951,422,48
Barking Riverside,Barking and Dagenham,9371,7293,78,930,807,284,57
Beam,Barking and Dagenham,8023,6109,76,711,793,346,64
Becontree,Barking and Dagenham,9397,7089,75,865,975,419,49
Chadwell Heath,Barking and Dagenham,13228,10469,79,1135,1069,496,59
Eastbrook & Rush Green,Barking and Dagenham,8461,7132,84,550,542,206,31
Eastbury,Barking and Dagenham,15064,11286,75,1324,1605,765,84
Gascoigne,Barking and Dagenham,10016,7016,70,1264,1153,512,71
Goresbrook,Barking and Dagenham,13128,10344,79,1037,1144,529,74
Heath,Barking and Dagenham,8718,7072,81,667,653,276,50
Longbridge,Barking and Dagenham,12798,9694,76,1156,1158,679,111
Mayesbrook,Barking and Dagenham,14880,11132,75,1492,1494,662,100
Northbury,Barking and Dagenham,12504,8049,64,1531,1847,934,143
Parsloes,Barking and Dagenham,14572,11422,78,1170,1313,589,78
Thames View,Barking and Dagenham,5415,4193,77,393,529,271,29
Valence,Barking and Dagenham,14606,11455,78,1226,1284,542,99
Village,Barking and Dagenham,12077,9620,80,911,1009,480,57
Whalebone,Barking and Dagenham,13430,9926,74,1447,1367,623,67
Barnet Vale,Barnet,16515,14086,85,1123,900,351,55
Brunswick Park,Barnet,15761,13022,83,1283,975,410,71
Burnt Oak,Barnet,20739,14072,68,2528,2844,1133,162
Childs Hill,Barnet,18734,13914,74,2288,1656,767,109
Colindale North,Barnet,12127,8213,68,1544,1502,720,148
Colindale South,Barnet,18200,11514,63,3046,2464,1041,135
Cricklewood,Barnet,9996,6911,69,1207,1217,582,79
East Barnet,Barnet,17337,14648,84,1179,1006,437,67
East Finchley,Barnet,15824,12777,81,1613,992,388,54
Edgware,Barnet,19046,14971,79,1836,1540,596,103
Edgwarebury,Barnet,11926,9799,82,923,830,330,44
Finchley Church End,Barnet,18203,14348,79,1849,1321,609,76
Friern Barnet,Barnet,18409,14226,77,1935,1454,691,103
Garden Suburb,Barnet,12233,10575,86,974,462,192,30
Golders Green,Barnet,14307,11577,81,1262,981,433,54
Hendon,Barnet,21048,15403,73,2447,2197,904,97
High Barnet,Barnet,11645,10228,88,792,426,164,35
Mill Hill,Barnet,17161,14026,82,1500,1130,446,59
Totteridge & Woodside,Barnet,14423,11731,81,1393,867,374,58
Underhill,Barnet,11925,10087,85,921,642,229,46
West Finchley,Barnet,18650,13464,72,2412,1801,829,144
West Hendon,Barnet,16590,10451,63,2479,2536,979,145
Whetstone,Barnet,10525,8686,83,873,636,283,47
Woodhouse,Barnet,13828,10352,75,1488,1307,590,91
Barnehurst,Bexley,11276,10474,93,384,296,105,17
Belvedere,Bexley,16873,14055,83,1180,1072,489,77
Bexleyheath,Bexley,15390,13997,91,710,467,184,32
Blackfen & Lamorbey,Bexley,15602,14756,95,458,263,103,22
Blendon & Penhill,Bexley,15009,14337,96,383,173,96,20
Crayford,Bexley,15361,14074,92,645,447,171,24
Crook Log,Bexley,15368,13936,91,820,391,193,28
East Wickham,Bexley,15652,13523,86,1054,694,314,67
Erith,Bexley,12093,10474,87,743,597,239,40
Falconwood & Welling,Bexley,16079,14141,88,990,634,276,38
Longlands,Bexley,9698,9175,95,295,177,45,6
Northumberland Heath,Bexley,10671,9759,91,406,344,141,21
St Mary's & St James,Bexley,10486,9985,95,276,151,62,12
Sidcup,Bexley,15216,14181,93,544,333,137,21
Slade Green & Northend,Bexley,12331,11093,90,615,433,169,21
Thamesmead East,Bexley,15349,13188,86,916,760,403,82
West Heath,Bexley,15193,13828,91,720,415,193,37
Alperton,Brent,14468,7236,50,2320,2674,1737,501
Barnhill,Brent,11053,7486,68,1398,1438,638,93
Brondesbury Park,Brent,13176,9844,75,1606,1114,493,119
Cricklewood & Mapesbury,Brent,13508,9449,70,1773,1492,670,124
Dollis Hill,Brent,20787,13445,65,2477,2971,1586,308
Harlesden & Kensal Green,Brent,19391,14078,73,1929,2137,1069,178
Kenton,Brent,17143,11171,65,2606,2211,975,180
Kilburn,Brent,16663,12555,75,2011,1422,581,94
Kingsbury,Brent,10982,7177,65,1495,1491,719,100
Northwick Park,Brent,11785,8046,68,1734,1388,523,94
Preston,Brent,11924,7132,60,1851,2002,801,138
Queens Park,Brent,16434,13339,81,1581,984,445,85
Queensbury,Brent,16289,9636,59,2490,2857,1123,183
Roundwood,Brent,15996,11174,70,1708,1919,1029,166
Stonebridge,Brent,19478,14371,74,1852,2004,1072,179
Sudbury,Brent,13269,7699,58,2186,2241,997,146
Tokyngton,Brent,9667,6327,65,1189,1325,692,134
Welsh Harp,Brent,17529,11085,63,2199,2803,1251,191
Wembley Central,Brent,17358,8988,52,2787,3129,1860,594
Wembley Hill,Brent,15024,9497,63,2077,2185,1106,159
Wembley Park,Brent,7339,5040,69,1412,689,164,34
Willesden Green,Brent,18516,12595,68,2379,2205,1080,257
Beckenham Town & Copers Cope,Bromley,15438,13747,89,1059,475,135,22
Bickley & Sundridge,Bromley,17220,16109,94,692,283,121,15
Biggin Hill,Bromley,10614,10410,98,132,48,21,3
Bromley Common & Holwood,Bromley,18253,16996,93,745,354,131,27
Bromley Town,Bromley,15209,12922,85,1360,681,208,38
Chelsfield,Bromley,11182,10331,92,623,164,54,10
Chislehurst,Bromley,15026,14185,94,535,222,72,12
Clock House,Bromley,16402,15026,92,764,420,166,26
Crystal Palace & Anerley,Bromley,11480,9849,86,853,508,229,41
Darwin,Bromley,5387,5269,98,69,33,14,2
Farnborough & Crofton,Bromley,17341,16271,94,742,256,59,13
Hayes & Coney Hall,Bromley,15425,14833,96,368,168,43,13
Kelsey & Eden Park,Bromley,15041,14142,94,525,244,115,15
Mottingham,Bromley,11034,9836,89,645,376,162,15
Orpington,Bromley,11855,10733,91,669,340,96,17
Penge & Cator,Bromley,18331,16205,88,1039,747,291,49
Petts Wood & Knoll,Bromley,16297,15208,93,706,282,87,14
Plaistow,Bromley,12337,11056,90,670,427,163,21
Shortlands & Park Langley,Bromley,16111,14645,91,909,415,129,13
St Mary Cray,Bromley,17944,16511,92,794,446,162,31
St Paul's Cray,Bromley,16253,14820,91,727,505,174,27
West Wickham,Bromley,14408,13790,96,331,184,88,15
Belsize,Camden,11673,9182,79,1859,479,140,13
Bloomsbury,Camden,11220,8182,73,1981,737,286,34
Camden Square,Camden,6912,5549,80,800,351,182,30
Camden Town,Camden,6640,5219,79,791,407,190,33
Fortune Green,Camden,11206,8873,79,1398,648,257,30
Frognal,Camden,7443,5941,80,986,362,136,18
Gospel Oak,Camden,11397,9320,82,1182,579,274,42
Hampstead Town,Camden,7835,6648,85,906,211,62,8
Haverstock,Camden,11604,9437,81,1138,602,355,72
Highgate,Camden,9963,8933,90,639,271,102,18
Holborn & Covent Garden,Camden,10125,7914,78,1240,609,290,72
Kentish Town North,Camden,7103,6090,86,633,255,107,18
Kentish Town South,Camden,10034,8179,82,1028,489,290,48
Kilburn,Camden,11607,8473,73,1516,1050,493,75
King's Cross,Camden,11171,7903,71,1804,988,399,77
Primrose Hill,Camden,12001,9619,80,1441,644,248,49
Regent's Park,Camden,11611,8736,75,1499,917,396,63
St Pancras & Somers Town,Camden,12099,9217,76,1298,1029,454,101
