Borough,Sector,2021
Barking and Dagenham,Primary & Utilities,800
Barking and Dagenham,Manufacturing,"4,500"
Barking and Dagenham,Construction,"4,000"
Barking and Dagenham,Wholesale,"5,000"
Barking and Dagenham,Retail,"6,000"
Barking and Dagenham,Transportation and Storage,"6,000"
Barking and Dagenham,Accomodation and food service activities,"3,000"
Barking and Dagenham,Information and Communication,"1,000"
Barking and Dagenham,Financial and insurance activities,400
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities","3,000"
Barking and Dagenham,Administrative and support service activities,"7,000"
Barking and Dagenham,Public Admin and defence,"2,500"
Barking and Dagenham,Education,"7,000"
Barking and Dagenham,Health,"6,000"
Barking and Dagenham,"Arts, entertainment and recreation",900
Barking and Dagenham,Other services,900
Barnet,Primary & Utilities,600
Barnet,Manufacturing,"2,500"
Barnet,Construction,"8,000"
Barnet,Wholesale,"6,000"
Barnet,Retail,"17,000"
Barnet,Transportation and Storage,"4,000"
Barnet,Accomodation and food service activities,"9,000"
Barnet,Information and Communication,"6,000"
Barnet,Financial and insurance activities,"2,500"
Barnet,"Professional, Real Estate, Scientific and technical activities","18,000"
Barnet,Administrative and support service activities,"11,000"
Barnet,Public Admin and defence,"4,000"
Barnet,Education,"15,000"
Barnet,Health,"22,000"
Barnet,"Arts, entertainment and recreation","3,000"
Barnet,Other services,"4,000"
Bexley,Primary & Utilities,"1,000"
Bexley,Manufacturing,"4,500"
Bexley,Construction,"6,000"
Bexley,Wholesale,"5,000"
Bexley,Retail,"9,000"
Bexley,Transportation and Storage,"5,000"
Bexley,Accomodation and food service activities,"4,500"
Bexley,Information and Communication,"2,000"
Bexley,Financial and insurance activities,700
Bexley,"Professional, Real Estate, Scientific and technical activities","6,000"
Bexley,Administrative and support service activities,"9,000"
Bexley,Public Admin and defence,"3,500"
Bexley,Education,"7,000"
Bexley,Health,"8,000"
Bexley,"Arts, entertainment and recreation","1,250"
Bexley,Other services,"1,500"
Brent,Primary & Utilities,"1,250"
Brent,Manufacturing,"8,000"
Brent,Construction,"7,000"
Brent,Wholesale,"11,000"
Brent,Retail,"13,000"
Brent,Transportation and Storage,"8,000"
Brent,Accomodation and food service activities,"9,000"
Brent,Information and Communication,"3,500"
Brent,Financial and insurance activities,"1,500"
Brent,"Professional, Real Estate, Scientific and technical activities","10,000"
Brent,Administrative and support service activities,"9,000"
Brent,Public Admin and defence,"3,500"
Brent,Education,"10,000"
Brent,Health,"18,000"
Brent,"Arts, entertainment and recreation","3,000"
Brent,Other services,"2,000"
Bromley,Primary & Utilities,"1,000"
Bromley,Manufacturing,"2,000"
Bromley,Construction,"7,000"
Bromley,Wholesale,"4,000"
Bromley,Retail,"12,000"
Bromley,Transportation and Storage,"3,500"
Bromley,Accomodation and food service activities,"8,000"
Bromley,Information and Communication,"3,500"
Bromley,Financial and insurance activities,"5,000"
Bromley,"Professional, Real Estate, Scientific and technical activities","10,000"
Bromley,Administrative and support service activities,"11,000"
Bromley,Public Admin and defence,"3,000"
Bromley,Education,"11,000"
Bromley,Health,"17,000"
Bromley,"Arts, entertainment and recreation","4,500"
Bromley,Other services,"2,500"
Camden,Primary & Utilities,"2,000"
Camden,Manufacturing,"3,500"
Camden,Construction,"9,000"
Camden,Wholesale,"11,000"
Camden,Retail,"21,000"
Camden,Transportation and Storage,"10,000"
Camden,Accomodation and food service activities,"26,000"
Camden,Information and Communication,"48,000"
Camden,Financial and insurance activities,"13,000"
Camden,"Professional, Real Estate, Scientific and technical activities","85,000"
Camden,Administrative and support service activities,"28,000"
Camden,Public Admin and defence,"12,000"
Camden,Education,"36,000"
Camden,Health,"51,000"
Camden,"Arts, entertainment and recreation","13,000"
Camden,Other services,"11,000"
City of London,Primary & Utilities,"5,000"
City of London,Manufacturing,"2,250"
City of London,Construction,"7,000"
City of London,Wholesale,"7,000"
City of London,Retail,"7,000"
City of London,Transportation and Storage,"6,000"
City of London,Accomodation and food service activities,"17,000"
City of London,Information and Communication,"66,000"
City of London,Financial and insurance activities,"209,000"
City of London,"Professional, Real Estate, Scientific and technical activities","145,000"
City of London,Administrative and support service activities,"63,000"
City of London,Public Admin and defence,"2,500"
City of London,Education,"6,000"
City of London,Health,"12,000"
City of London,"Arts, entertainment and recreation","4,000"
City of London,Other services,"7,000"
Croydon,Primary & Utilities,"1,250"
Croydon,Manufacturing,"2,000"
Croydon,Construction,"7,000"
Croydon,Wholesale,"6,000"
Croydon,Retail,"16,000"
Croydon,Transportation and Storage,"5,000"
Croydon,Accomodation and food service activities,"7,000"
Croydon,Information and Communication,"4,500"
Croydon,Financial and insurance activities,"4,500"
Croydon,"Professional, Real Estate, Scientific and technical activities","13,000"
Croydon,Administrative and support service activities,"9,000"
Croydon,Public Admin and defence,"12,000"
Croydon,Education,"11,000"
Croydon,Health,"17,000"
Croydon,"Arts, entertainment and recreation","2,500"
Croydon,Other services,"3,500"
Ealing,Primary & Utilities,"1,000"
Ealing,Manufacturing,"11,000"
Ealing,Construction,"7,000"
Ealing,Wholesale,"10,000"
Ealing,Retail,"14,000"
Ealing,Transportation and Storage,"11,000"
Ealing,Accomodation and food service activities,"8,000"
Ealing,Information and Communication,"6,000"
Ealing,Financial and insurance activities,"1,250"
Ealing,"Professional, Real Estate, Scientific and technical activities","12,000"
Ealing,Administrative and support service activities,"13,000"
Ealing,Public Admin and defence,"4,000"
Ealing,Education,"10,000"
Ealing,Health,"13,000"
