Borough,Sector,2011 Numbers,2021 Numbers
Barking and Dagenham,Primary & Utilities,700,800
Barking and Dagenham,Manufacturing,7000,4500
Barking and Dagenham,Construction,2500,4000
Barking and Dagenham,Wholesale,4500,5000
Barking and Dagenham,Retail,4000,6000
Barking and Dagenham,Transportation and Storage,4000,6000
Barking and Dagenham,Accomodation and food service activities,1750,3000
Barking and Dagenham,Information and Communication,800,1000
Barking and Dagenham,Financial and insurance activities,800,400
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1750,3000
Barking and Dagenham,Administrative and support service activities,5000,7000
Barking and Dagenham,Public Admin and defence,3000,2500
Barking and Dagenham,Education,5000,7000
Barking and Dagenham,Health,4000,6000
Barking and Dagenham,"Arts, entertainment and recreation",1500,900
Barking and Dagenham,Other services,900,900
Barnet,Primary & Utilities,500,600
Barnet,Manufacturing,3000,2500
Barnet,Construction,6000,8000
Barnet,Wholesale,6000,6000
Barnet,Retail,16000,17000
Barnet,Transportation and Storage,3000,4000
Barnet,Accomodation and food service activities,8000,9000
Barnet,Information and Communication,5000,6000
Barnet,Financial and insurance activities,2000,2500
Barnet,"Professional, Real Estate, Scientific and technical activities",13000,18000
Barnet,Administrative and support service activities,8000,11000
Barnet,Public Admin and defence,6000,4000
Barnet,Education,14000,15000
Barnet,Health,16000,22000
Barnet,"Arts, entertainment and recreation",3000,3000
Barnet,Other services,3500,4000
Bexley,Primary & Utilities,1750,1000
Bexley,Manufacturing,5000,4500
Bexley,Construction,4000,6000
Bexley,Wholesale,5000,5000
Bexley,Retail,8000,9000
Bexley,Transportation and Storage,4000,5000
Bexley,Accomodation and food service activities,3500,4500
Bexley,Information and Communication,2000,2000
Bexley,Financial and insurance activities,900,700
Bexley,"Professional, Real Estate, Scientific and technical activities",3500,6000
Bexley,Administrative and support service activities,7000,9000
Bexley,Public Admin and defence,3000,3500
Bexley,Education,7000,7000
Bexley,Health,8000,8000
Bexley,"Arts, entertainment and recreation",1250,1250
Bexley,Other services,1250,1500
Brent,Primary & Utilities,1750,1250
Brent,Manufacturing,7000,8000
Brent,Construction,4500,7000
Brent,Wholesale,10000,11000
Brent,Retail,9000,13000
Brent,Transportation and Storage,8000,8000
Brent,Accomodation and food service activities,7000,9000
Brent,Information and Communication,4500,3500
Brent,Financial and insurance activities,1250,1500
Brent,"Professional, Real Estate, Scientific and technical activities",7000,10000
Brent,Administrative and support service activities,9000,9000
Brent,Public Admin and defence,4500,3500
Brent,Education,9000,10000
Brent,Health,13000,18000
Brent,"Arts, entertainment and recreation",2500,3000
Brent,Other services,1500,2000
Bromley,Primary & Utilities,700,1000
Bromley,Manufacturing,3000,2000
Bromley,Construction,5000,7000
Bromley,Wholesale,3500,4000
Bromley,Retail,13000,12000
Bromley,Transportation and Storage,3000,3500
Bromley,Accomodation and food service activities,5000,8000
Bromley,Information and Communication,3500,3500
Bromley,Financial and insurance activities,5000,5000
Bromley,"Professional, Real Estate, Scientific and technical activities",9000,10000
Bromley,Administrative and support service activities,9000,11000
Bromley,Public Admin and defence,3000,3000
Bromley,Education,10000,11000
Bromley,Health,16000,17000
Bromley,"Arts, entertainment and recreation",3500,4500
Bromley,Other services,2500,2500
Camden,Primary & Utilities,1750,2000
Camden,Manufacturing,2500,3500
Camden,Construction,5000,9000
Camden,Wholesale,8000,11000
Camden,Retail,17000,21000
Camden,Transportation and Storage,9000,10000
Camden,Accomodation and food service activities,25000,26000
Camden,Information and Communication,29000,48000
Camden,Financial and insurance activities,8000,13000
Camden,"Professional, Real Estate, Scientific and technical activities",67000,85000
Camden,Administrative and support service activities,35000,28000
Camden,Public Admin and defence,12000,12000
Camden,Education,27000,36000
Camden,Health,33000,51000
Camden,"Arts, entertainment and recreation",8000,13000
Camden,Other services,10000,11000
City of London,Primary & Utilities,350,5000
City of London,Manufacturing,1000,2250
City of London,Construction,4000,7000
City of London,Wholesale,4500,7000
City of London,Retail,6000,7000
City of London,Transportation and Storage,3500,6000
City of London,Accomodation and food service activities,16000,17000
City of London,Information and Communication,25000,66000
City of London,Financial and insurance activities,153000,209000
City of London,"Professional, Real Estate, Scientific and technical activities",101000,145000
City of London,Administrative and support service activities,40000,63000
City of London,Public Admin and defence,4000,2500
City of London,Education,3500,6000
City of London,Health,3500,12000
City of London,"Arts, entertainment and recreation",2500,4000
City of London,Other services,6000,7000
Croydon,Primary & Utilities,800,1250
Croydon,Manufacturing,3000,2000
Croydon,Construction,5000,7000
Croydon,Wholesale,6000,6000
Croydon,Retail,14000,16000
Croydon,Transportation and Storage,5000,5000
Croydon,Accomodation and food service activities,6000,7000
Croydon,Information and Communication,4500,4500
Croydon,Financial and insurance activities,6000,4500
Croydon,"Professional, Real Estate, Scientific and technical activities",11000,13000
Croydon,Administrative and support service activities,10000,9000
Croydon,Public Admin and defence,11000,12000
Croydon,Education,12000,11000
Croydon,Health,14000,17000
Croydon,"Arts, entertainment and recreation",2250,2500
Croydon,Other services,3500,3500
Ealing,Primary & Utilities,800,1000
Ealing,Manufacturing,11000,11000
Ealing,Construction,5000,7000
Ealing,Wholesale,10000,10000
Ealing,Retail,12000,14000
Ealing,Transportation and Storage,9000,11000
Ealing,Accomodation and food service activities,11000,8000
Ealing,Information and Communication,6000,6000
Ealing,Financial and insurance activities,1250,1250
Ealing,"Professional, Real Estate, Scientific and technical activities",10000,12000
Ealing,Administrative and support service activities,12000,13000
Ealing,Public Admin and defence,6000,4000
Ealing,Education,10000,10000
Ealing,Health,11000,13000
Ealing,"Arts, entertainment and recreation",2000,3000
Ealing,Other services,2250,3000
Enfield,Primary & Utilities,900,1000
Enfield,Manufacturing,4500,4500
Enfield,Construction,5000,8000
Enfield,Wholesale,7000,9000
Enfield,Retail,11000,13000
Enfield,Transportation and Storage,6000,8000
Enfield,Accomodation and food service activities,5000,7000
Enfield,Information and Communication,2500,3000
Enfield,Financial and insurance activities,1750,1500
Enfield,"Professional, Real Estate, Scientific and technical activities",6000,7000
Enfield,Administrative and support service activities,12000,10000
Enfield,Public Admin and defence,4000,4000
Enfield,Education,10000,10000
Enfield,Health,15000,17000
Enfield,"Arts, entertainment and recreation",1500,2250
Enfield,Other services,1750,2500
Greenwich,Primary & Utilities,600,1500
Greenwich,Manufacturing,2250,2500
Greenwich,Construction,2500,4500
Greenwich,Wholesale,2500,2500
Greenwich,Retail,7000,9000
Greenwich,Transportation and Storage,4000,6000
Greenwich,Accomodation and food service activities,5000,8000
Greenwich,Information and Communication,3000,3000
Greenwich,Financial and insurance activities,700,500
Greenwich,"Professional, Real Estate, Scientific and technical activities",3500,5000
Greenwich,Administrative and support service activities,6000,7000
Greenwich,Public Admin and defence,6000,5000
Greenwich,Education,10000,11000
Greenwich,Health,11000,15000
Greenwich,"Arts, entertainment and recreation",3000,3500
Greenwich,Other services,1250,2250
Hackney,Primary & Utilities,300,700
Hackney,Manufacturing,2000,2500
Hackney,Construction,2000,4000
Hackney,Wholesale,2250,3500
Hackney,Retail,5000,12000
Hackney,Transportation and Storage,5000,4000
Hackney,Accomodation and food service activities,5000,11000
Hackney,Information and Communication,7000,18000
Hackney,Financial and insurance activities,4500,6000
Hackney,"Professional, Real Estate, Scientific and technical activities",14000,32000
Hackney,Administrative and support service activities,11000,8000
Hackney,Public Admin and defence,5000,6000
Hackney,Education,8000,12000
Hackney,Health,13000,15000
Hackney,"Arts, entertainment and recreation",2500,4500
Hackney,Other services,2500,3000
Hammersmith and Fulham,Primary & Utilities,400,500
Hammersmith and Fulham,Manufacturing,1500,2000
Hammersmith and Fulham,Construction,2000,2500
Hammersmith and Fulham,Wholesale,7000,12000
Hammersmith and Fulham,Retail,15000,15000
Hammersmith and Fulham,Transportation and Storage,3000,3000
Hammersmith and Fulham,Accomodation and food service activities,9000,11000
Hammersmith and Fulham,Information and Communication,22000,20000
Hammersmith and Fulham,Financial and insurance activities,1500,2250
Hammersmith and Fulham,"Professional, Real Estate, Scientific and technical activities",17000,21000
Hammersmith and Fulham,Administrative and support service activities,12000,13000
Hammersmith and Fulham,Public Admin and defence,5000,6000
Hammersmith and Fulham,Education,6000,7000
Hammersmith and Fulham,Health,13000,18000
Hammersmith and Fulham,"Arts, entertainment and recreation",6000,6000
Hammersmith and Fulham,Other services,2000,2500
Haringey,Primary & Utilities,100,400
Haringey,Manufacturing,3000,3000
Haringey,Construction,2250,3500
Haringey,Wholesale,3500,4500
Haringey,Retail,9000,10000
Haringey,Transportation and Storage,4000,4500
Haringey,Accomodation and food service activities,3000,7000
Haringey,Information and Communication,2250,2500
Haringey,Financial and insurance activities,700,700
Haringey,"Professional, Real Estate, Scientific and technical activities",4500,8000
Haringey,Administrative and support service activities,6000,4000
Haringey,Public Admin and defence,3500,3500
Haringey,Education,8000,7000
Haringey,Health,6000,9000
Haringey,"Arts, entertainment and recreation",3000,2500
Haringey,Other services,2000,2000
Harrow,Primary & Utilities,800,500
Harrow,Manufacturing,2500,1750
Harrow,Construction,2500,6000
Harrow,Wholesale,3000,3500
Harrow,Retail,8000,7000
Harrow,Transportation and Storage,1750,2250
Harrow,Accomodation and food service activities,3500,5000
Harrow,Information and Communication,4000,4000
Harrow,Financial and insurance activities,1750,1250
Harrow,"Professional, Real Estate, Scientific and technical activities",7000,11000
Harrow,Administrative and support service activities,5000,5000
Harrow,Public Admin and defence,2250,2250
Harrow,Education,8000,8000
Harrow,Health,10000,10000
Harrow,"Arts, entertainment and recreation",2250,1750
Harrow,Other services,1250,1750
Havering,Primary & Utilities,1250,800
Havering,Manufacturing,3500,2500
Havering,Construction,5000,8000
Havering,Wholesale,4500,5000
Havering,Retail,10000,9000
Havering,Transportation and Storage,4000,6000
Havering,Accomodation and food service activities,4000,5000
Havering,Information and Communication,1500,1750
Havering,Financial and insurance activities,2250,1750
Havering,"Professional, Real Estate, Scientific and technical activities",3500,5000
Havering,Administrative and support service activities,8000,10000
Havering,Public Admin and defence,2000,3000
Havering,Education,7000,7000
Havering,Health,12000,18000
Havering,"Arts, entertainment and recreation",2250,2000
Havering,Other services,1500,1500
Hillingdon,Primary & Utilities,1250,1250
Hillingdon,Manufacturing,8000,7000
Hillingdon,Construction,5000,7000
Hillingdon,Wholesale,11000,11000
Hillingdon,Retail,12000,14000
Hillingdon,Transportation and Storage,54000,31000
Hillingdon,Accomodation and food service activities,13000,16000
Hillingdon,Information and Communication,6000,7000
Hillingdon,Financial and insurance activities,2000,2500
Hillingdon,"Professional, Real Estate, Scientific and technical activities",17000,15000
Hillingdon,Administrative and support service activities,20000,27000
Hillingdon,Public Admin and defence,8000,7000
Hillingdon,Education,10000,13000
Hillingdon,Health,12000,16000
Hillingdon,"Arts, entertainment and recreation",2250,1750
Hillingdon,Other services,2500,2250
Hounslow,Primary & Utilities,800,1250
Hounslow,Manufacturing,4000,3000
Hounslow,Construction,4500,4500
Hounslow,Wholesale,11000,11000
Hounslow,Retail,9000,11000
Hounslow,Transportation and Storage,15000,40000
Hounslow,Accomodation and food service activities,6000,9000
Hounslow,Information and Communication,16000,20000
Hounslow,Financial and insurance activities,2000,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",13000,13000
Hounslow,Administrative and support service activities,17000,12000
Hounslow,Public Admin and defence,4500,3500
Hounslow,Education,7000,9000
Hounslow,Health,11000,11000
Hounslow,"Arts, entertainment and recreation",3500,3000
Hounslow,Other services,2250,2000
Islington,Primary & Utilities,1000,700
Islington,Manufacturing,2500,2250
Islington,Construction,4000,5000
Islington,Wholesale,4000,5000
Islington,Retail,8000,15000
Islington,Transportation and Storage,6000,7000
Islington,Accomodation and food service activities,11000,15000
Islington,Information and Communication,30000,37000
Islington,Financial and insurance activities,18000,13000
Islington,"Professional, Real Estate, Scientific and technical activities",35000,60000
Islington,Administrative and support service activities,16000,33000
Islington,Public Admin and defence,7000,5000
Islington,Education,11000,11000
Islington,Health,18000,20000
Islington,"Arts, entertainment and recreation",4000,6000
Islington,Other services,4500,6000
Kensington and Chelsea,Primary & Utilities,700,800
Kensington and Chelsea,Manufacturing,700,1250
Kensington and Chelsea,Construction,1750,2250
Kensington and Chelsea,Wholesale,3000,3000
Kensington and Chelsea,Retail,21000,21000
Kensington and Chelsea,Transportation and Storage,3000,2000
Kensington and Chelsea,Accomodation and food service activities,18000,17000
Kensington and Chelsea,Information and Communication,8000,18000
Kensington and Chelsea,Financial and insurance activities,2500,3500
Kensington and Chelsea,"Professional, Real Estate, Scientific and technical activities",16000,17000
Kensington and Chelsea,Administrative and support service activities,9000,8000
Kensington and Chelsea,Public Admin and defence,3000,3000
Kensington and Chelsea,Education,6000,7000
Kensington and Chelsea,Health,14000,23000
Kensington and Chelsea,"Arts, entertainment and recreation",4500,6000
Kensington and Chelsea,Other services,3500,4000
Kingston upon Thames,Primary & Utilities,125,175
Kingston upon Thames,Manufacturing,1750,2250
Kingston upon Thames,Construction,1750,3000
Kingston upon Thames,Wholesale,4500,3500
Kingston upon Thames,Retail,10000,9000
Kingston upon Thames,Transportation and Storage,1250,1750
Kingston upon Thames,Accomodation and food service activities,4500,5000
Kingston upon Thames,Information and Communication,4000,3500
Kingston upon Thames,Financial and insurance activities,1750,1000
Kingston upon Thames,"Professional, Real Estate, Scientific and technical activities",7000,6000
Kingston upon Thames,Administrative and support service activities,7000,5000
Kingston upon Thames,Public Admin and defence,3500,4000
Kingston upon Thames,Education,9000,9000
Kingston upon Thames,Health,9000,13000
Kingston upon Thames,"Arts, entertainment and recreation",3500,2500
Kingston upon Thames,Other services,2250,1750
Lambeth,Primary & Utilities,2500,1750
Lambeth,Manufacturing,1500,1500
Lambeth,Construction,3500,5000
Lambeth,Wholesale,2500,3000
Lambeth,Retail,7000,10000
Lambeth,Transportation and Storage,5000,5000
Lambeth,Accomodation and food service activities,11000,14000
Lambeth,Information and Communication,11000,11000
Lambeth,Financial and insurance activities,800,1750
Lambeth,"Professional, Real Estate, Scientific and technical activities",11000,15000
Lambeth,Administrative and support service activities,19000,13000
Lambeth,Public Admin and defence,8000,10000
Lambeth,Education,9000,9000
Lambeth,Health,27000,38000
Lambeth,"Arts, entertainment and recreation",4000,6000
Lambeth,Other services,4000,4000
Lewisham,Primary & Utilities,250,200
Lewisham,Manufacturing,1250,1250
Lewisham,Construction,3000,3000
Lewisham,Wholesale,2000,2000
Lewisham,Retail,7000,8000
Lewisham,Transportation and Storage,2250,3000
Lewisham,Accomodation and food service activities,3000,6000
Lewisham,Information and Communication,1750,1750
Lewisham,Financial and insurance activities,900,500
Lewisham,"Professional, Real Estate, Scientific and technical activities",3500,6000
Lewisham,Administrative and support service activities,7000,6000
Lewisham,Public Admin and defence,4500,2000
Lewisham,Education,9000,10000
Lewisham,Health,11000,13000
Lewisham,"Arts, entertainment and recreation",1750,2250
Lewisham,Other services,1250,1750
Merton,Primary & Utilities,700,450
Merton,Manufacturing,3000,2250
Merton,Construction,3500,4500
Merton,Wholesale,4500,5000
Merton,Retail,9000,9000
Merton,Transportation and Storage,3500,5000
Merton,Accomodation and food service activities,3500,7000
Merton,Information and Communication,3500,4000
Merton,Financial and insurance activities,1500,2000
Merton,"Professional, Real Estate, Scientific and technical activities",7000,10000
Merton,Administrative and support service activities,9000,9000
Merton,Public Admin and defence,2000,2000
Merton,Education,6000,7000
Merton,Health,7000,8000
Merton,"Arts, entertainment and recreation",2250,2250
Merton,Other services,3000,2500
Newham,Primary & Utilities,1500,1750
Newham,Manufacturing,3000,4500
Newham,Construction,4000,8000
Newham,Wholesale,3000,3500
Newham,Retail,9000,17000
Newham,Transportation and Storage,4500,8000
Newham,Accomodation and food service activities,4500,10000
Newham,Information and Communication,1750,2500
Newham,Financial and insurance activities,1000,1250
Newham,"Professional, Real Estate, Scientific and technical activities",4500,11000
Newham,Administrative and support service activities,7000,13000
Newham,Public Admin and defence,6000,15000
Newham,Education,10000,13000
Newham,Health,9000,11000
Newham,"Arts, entertainment and recreation",2500,2250
Newham,Other services,2250,3500
Redbridge,Primary & Utilities,200,450
Redbridge,Manufacturing,2000,1250
Redbridge,Construction,2500,6000
Redbridge,Wholesale,3000,3500
Redbridge,Retail,8000,9000
Redbridge,Transportation and Storage,3000,3000
Redbridge,Accomodation and food service activities,3500,5000
Redbridge,Information and Communication,3000,3000
Redbridge,Financial and insurance activities,1250,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",4500,8000
Redbridge,Administrative and support service activities,7000,9000
Redbridge,Public Admin and defence,5000,5000
Redbridge,Education,9000,9000
Redbridge,Health,11000,14000
Redbridge,"Arts, entertainment and recreation",1500,2000
Redbridge,Other services,1750,2000
Richmond upon Thames,Primary & Utilities,500,350
Richmond upon Thames,Manufacturing,1500,1000
Richmond upon Thames,Construction,2500,2500
Richmond upon Thames,Wholesale,2500,3000
Richmond upon Thames,Retail,7000,7000
Richmond upon Thames,Transportation and Storage,1750,2000
Richmond upon Thames,Accomodation and food service activities,6000,7000
Richmond upon Thames,Information and Communication,6000,6000
Richmond upon Thames,Financial and insurance activities,1500,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",13000,14000
Richmond upon Thames,Administrative and support service activities,7000,6000
Richmond upon Thames,Public Admin and defence,2000,1750
Richmond upon Thames,Education,8000,9000
Richmond upon Thames,Health,7000,9000
Richmond upon Thames,"Arts, entertainment and recreation",4500,6000
Richmond upon Thames,Other services,2000,2250
Southwark,Primary & Utilities,1250,1750
Southwark,Manufacturing,2000,2500
Southwark,Construction,6000,4000
Southwark,Wholesale,4500,4500
Southwark,Retail,9000,13000
Southwark,Transportation and Storage,7000,12000
Southwark,Accomodation and food service activities,10000,16000
Southwark,Information and Communication,16000,24000
Southwark,Financial and insurance activities,9000,7000
Southwark,"Professional, Real Estate, Scientific and technical activities",38000,61000
Southwark,Administrative and support service activities,25000,28000
Southwark,Public Admin and defence,13000,17000
Southwark,Education,15000,17000
Southwark,Health,21000,26000
Southwark,"Arts, entertainment and recreation",3500,6000
Southwark,Other services,7000,7000
Sutton,Primary & Utilities,350,350
Sutton,Manufacturing,1750,1500
Sutton,Construction,4000,6000
Sutton,Wholesale,3000,3000
Sutton,Retail,7000,7000
Sutton,Transportation and Storage,4000,4500
Sutton,Accomodation and food service activities,2250,5000
Sutton,Information and Communication,3000,2250
Sutton,Financial and insurance activities,1000,1250
Sutton,"Professional, Real Estate, Scientific and technical activities",5000,7000
Sutton,Administrative and support service activities,14000,19000
Sutton,Public Admin and defence,2500,1750
Sutton,Education,6000,7000
Sutton,Health,11000,13000
Sutton,"Arts, entertainment and recreation",1000,1500
Sutton,Other services,1250,1500
Tower Hamlets,Primary & Utilities,700,1000
Tower Hamlets,Manufacturing,3000,2500
Tower Hamlets,Construction,6000,5000
Tower Hamlets,Wholesale,5000,6000
