Borough,Sector,2011 Numbers,2021 Numbers,2021 Percentage
Barking and Dagenham,Primary & Utilities,700,800,1.4
Barking and Dagenham,Manufacturing,7000,4500,7.8
Barking and Dagenham,Construction,2500,4000,6.9
Barking and Dagenham,Wholesale,4500,5000,8.6
Barking and Dagenham,Retail,4000,6000,10.3
Barking and Dagenham,Transportation and Storage,4000,6000,10.3
Barking and Dagenham,Accomodation and food service activities,1750,3000,5.2
Barking and Dagenham,Information and Communication,800,1000,1.7
Barking and Dagenham,Financial and insurance activities,800,400,0.7
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1750,3000,5.2
Barking and Dagenham,Administrative and support service activities,5000,7000,12.1
Barking and Dagenham,Public Admin and defence,3000,2500,4.3
Barking and Dagenham,Education,5000,7000,12.1
Barking and Dagenham,Health,4000,6000,10.3
Barking and Dagenham,"Arts, entertainment and recreation",1500,900,1.6
Barking and Dagenham,Other services,900,900,1.6
Barnet,Primary & Utilities,500,600,0.5
Barnet,Manufacturing,3000,2500,1.9
Barnet,Construction,6000,8000,6.0
Barnet,Wholesale,6000,6000,4.5
Barnet,Retail,16000,17000,12.8
Barnet,Transportation and Storage,3000,4000,3.0
Barnet,Accomodation and food service activities,8000,9000,6.8
Barnet,Information and Communication,5000,6000,4.5
Barnet,Financial and insurance activities,2000,2500,1.9
Barnet,"Professional, Real Estate, Scientific and technical activities",13000,18000,13.6
Barnet,Administrative and support service activities,8000,11000,8.3
Barnet,Public Admin and defence,6000,4000,3.0
Barnet,Education,14000,15000,11.3
Barnet,Health,16000,22000,16.6
Barnet,"Arts, entertainment and recreation",3000,3000,2.3
Barnet,Other services,3500,4000,3.0
Bexley,Primary & Utilities,1750,1000,1.4
Bexley,Manufacturing,5000,4500,6.1
Bexley,Construction,4000,6000,8.1
Bexley,Wholesale,5000,5000,6.8
Bexley,Retail,8000,9000,12.2
Bexley,Transportation and Storage,4000,5000,6.8
Bexley,Accomodation and food service activities,3500,4500,6.1
Bexley,Information and Communication,2000,2000,2.7
Bexley,Financial and insurance activities,900,700,0.9
Bexley,"Professional, Real Estate, Scientific and technical activities",3500,6000,8.1
Bexley,Administrative and support service activities,7000,9000,12.2
Bexley,Public Admin and defence,3000,3500,4.7
Bexley,Education,7000,7000,9.5
Bexley,Health,8000,8000,10.8
Bexley,"Arts, entertainment and recreation",1250,1250,1.7
Bexley,Other services,1250,1500,2.0
Brent,Primary & Utilities,1750,1250,1.1
Brent,Manufacturing,7000,8000,6.8
Brent,Construction,4500,7000,5.9
Brent,Wholesale,10000,11000,9.3
Brent,Retail,9000,13000,11.0
Brent,Transportation and Storage,8000,8000,6.8
Brent,Accomodation and food service activities,7000,9000,7.6
Brent,Information and Communication,4500,3500,3.0
Brent,Financial and insurance activities,1250,1500,1.3
Brent,"Professional, Real Estate, Scientific and technical activities",7000,10000,8.5
Brent,Administrative and support service activities,9000,9000,7.6
Brent,Public Admin and defence,4500,3500,3.0
Brent,Education,9000,10000,8.5
Brent,Health,13000,18000,15.3
Brent,"Arts, entertainment and recreation",2500,3000,2.5
Brent,Other services,1500,2000,1.7
Bromley,Primary & Utilities,700,1000,1.0
Bromley,Manufacturing,3000,2000,1.9
Bromley,Construction,5000,7000,6.7
Bromley,Wholesale,3500,4000,3.8
Bromley,Retail,13000,12000,11.4
Bromley,Transportation and Storage,3000,3500,3.3
Bromley,Accomodation and food service activities,5000,8000,7.6
