Borough,EnglishNative%,NotEnglishNative%,Free Meals%
City of London,0,0,0
Barking and Dagenham,46,48,40
Barnet,57,56,47
Bexley,49,56,40
Brent,52,49,42
Bromley,50,59,37
Camden,46,51,42
Croydon,44,46,39
Ealing,52,50,42
Enfield,48,43,40
Greenwich,46,50,40
Hackney,49,50,42
Hammersmith and Fulham,54,57,43
Haringey,51,45,42
Harrow,53,51,38
Havering,47,52,38
Hillingdon,47,53,38
Hounslow,51,53,43
Islington,48,52,46
Kensington and Chelsea,53,55,48
Kingston upon Thames,58,58,43
Lambeth,43,47,43
Lewisham,45,44,37
Merton,50,55,41
Newham,48,53,47
Redbridge,53,55,44
Richmond upon Thames,56,58,42
Southwark,51,54,45
Sutton,56,67,43
Tower Hamlets,46,49,46
Waltham Forest,44,45,43
Wandsworth,51,53,42
Westminster,53,54,47
