,working age employment rate - white,,,,working age employment rate - ethnic minority,,,,working age employment rate for all mixed ethnic group,,,,working age employment rate for all Indians,,,,working age employment rate for all Pakistanis/Bangladeshis,,,,working age employment rate for all Black or black British,,,,working age employment rate for all other ethnic group,,,
Area,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of London,"16,200","16,200",100,-,"9,600","9,600",100,-,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,-,"9,600","9,600",100,-
Barking and Dagenham,"38,300","58,100",65.9,9.4,"54,400","83,100",65.4,12.9,!,"3,000",!,!,"5,800","7,000",82.3,*,"14,700","24,900",59.2,24.4,"24,500","34,400",71.2,19.4,"8,300","13,800",60.4,33.1
Barnet,"107,800","146,700",73.5,5.8,"73,400","112,000",65.5,11.7,"5,200","11,700",44.4,*,"28,300","32,700",86.6,13.8,"7,600","8,800",87.3,29.8,"8,600","16,700",51.7,35.5,"23,600","42,200",56,21.3
Bexley,"86,700","115,400",75.1,5,"30,100","43,500",69.2,15.2,"2,200","3,700",59.5,*,"5,200","7,600",68,36.1,!,!,!,-,"15,700","20,000",78.6,20.1,"7,000","12,200",57.3,34.2
Brent,"62,300","82,000",76,9.4,"91,300","138,000",66.1,13.4,"5,800","11,400",51.5,*,"30,600","49,500",61.9,22.2,"4,600","4,600",100,-,"19,600","22,700",86.4,25.8,"30,700","49,900",61.4,23.8
Bromley,"138,700","170,800",81.2,4.4,"29,400","39,800",73.9,18,"6,900","8,300",83.2,*,"9,500","10,900",87.4,26.6,!,!,!,!,"3,600","3,900",93.4,*,"8,600","15,400",56.1,35.3
Camden,"90,000","120,400",74.7,8.5,"43,400","65,100",66.6,19.9,"10,000","16,500",60.6,*,"3,800","3,800",100,-,"5,600","9,600",58.4,*,"5,000","14,200",35.5,*,"18,900","20,900",90.4,21.5
Croydon,"114,800","145,100",79.2,5.2,"71,900","107,600",66.8,11.7,"5,000","9,100",55.1,*,"15,600","22,500",69.3,23.5,"5,900","10,700",55.2,*,"35,600","50,100",71.1,17.4,"9,800","15,200",64.3,30.3
Ealing,"106,900","134,400",79.6,6.2,"61,200","88,900",68.9,14.3,"3,800","6,900",54.8,*,"21,200","25,800",81.9,20.4,"3,800","10,400",36.5,*,"15,200","18,100",83.9,27.6,"17,300","27,700",62.5,27.4
Enfield,"95,400","129,500",73.7,6.1,"60,300","91,700",65.8,14,"8,300","14,900",55.8,37.3,"8,800","10,900",80.3,32.9,"7,300","12,900",56.8,*,"20,700","34,900",59.4,24.4,"15,100","18,000",84.3,24.6
Greenwich,"90,200","114,700",78.6,5.5,"62,800","88,000",71.3,12.4,"6,700","9,300",72.1,37.1,"8,000","8,600",93.2,22.5,"6,000","7,200",82.8,35.2,"20,000","30,800",64.9,23.4,"22,200","32,200",68.8,20.9
Hackney,"122,300","145,700",83.9,6.4,"51,900","68,900",75.4,17.4,"4,800","9,500",50.3,*,"4,800","6,100",78.3,*,!,!,!,!,"26,100","33,000",79.1,24.7,"15,000","18,200",82.7,30.3
Hammersmith and Fulham,"67,400","85,100",79.3,5.9,"30,100","41,700",72.3,16.4,"2,300","2,300",100,-,"4,000","4,500",88.8,*,!,!,!,-,"7,100","10,500",67.7,31.6,"14,700","22,400",65.9,26
Haringey,"103,100","122,200",84.3,4.8,"46,700","72,200",64.7,13.9,"10,600","16,500",64,35,"4,400","4,800",90.9,*,"3,300","4,200",79,*,"13,700","23,400",58.8,23.5,"14,700","23,300",63.2,25.2
Harrow,"36,800","55,100",66.8,9,"79,600","99,600",79.9,9.2,"3,700","4,900",75.6,*,"46,600","57,200",81.5,11.6,"5,400","6,500",83,33.6,"5,100","6,700",77,36.2,"18,800","24,400",77.1,20.6
Havering,"98,800","122,800",80.5,4.2,"34,300","41,300",83.1,12.2,"1,700","3,400",48.2,*,"7,500","7,700",98.3,9,"6,100","7,200",84.6,29.9,"11,400","14,400",79.3,25.1,"7,700","8,600",88.8,21.3
Hillingdon,"74,800","98,900",75.6,7.2,"75,900","105,000",72.3,13,"3,500","4,100",85.7,*,"38,200","45,400",84.2,16.1,"6,700","8,100",83.2,*,"12,000","22,400",53.6,30.9,"15,500","25,100",61.8,30.7
Hounslow,"75,100","102,200",73.5,7,"61,200","78,800",77.7,12.8,"5,500","7,100",76.5,*,"30,300","37,600",80.5,17.7,!,"4,400",!,!,"7,400","10,000",74.7,*,"16,100","19,700",81.9,22.9
Islington,"100,800","127,400",79.1,5.5,"37,300","55,600",67,16.8,"5,400","7,400",72.6,*,"3,700","3,700",100,-,#,"3,500",54.4,*,"10,100","21,600",46.6,29.7,"16,200","19,400",83.7,22.9
Kensington and Chelsea,"37,900","63,200",59.9,8.3,"27,300","39,600",68.8,17.1,!,!,!,!,"2,900","3,100",92.4,*,!,#,!,!,"3,500","5,100",68.6,*,"20,000","29,700",67.4,21.2
Kingston upon Thames,"74,000","90,100",82.1,4.5,"23,200","30,200",76.7,14.3,"2,300","3,100",75.3,*,"5,500","5,900",93,19.2,"2,300","3,500",67.4,*,900,"1,100",81.4,*,"12,100","16,700",72.8,20.5
Lambeth,"141,300","166,900",84.7,5.1,"56,900","78,500",72.5,15.1,"7,500","9,600",78.7,*,"6,300","6,300",100,-,!,!,!,!,"32,000","51,000",62.9,20.6,"10,400","10,400",100,-
Lewisham,"118,000","143,200",82.4,4.8,"49,100","78,400",62.6,13.8,"3,900","13,100",30.1,*,"1,600","1,900",81.7,*,"1,900","4,000",47.7,*,"26,700","36,400",73.3,17.8,"14,900","23,000",65,27.9
Merton,"77,800","97,700",79.6,5.2,"32,700","42,700",76.5,14.1,"4,800","5,800",83.5,34.7,"4,600","6,000",77.2,39.2,"2,300","3,800",61.4,*,"10,700","12,300",86.5,20.4,"10,300","14,900",69,27.6
Newham,"86,600","104,700",82.7,7.5,"97,700","146,300",66.8,12.6,"6,800","6,800",100,-,"11,300","14,900",76,33.1,"42,900","73,000",58.8,18.6,"24,500","35,700",68.7,28.2,"12,300","16,000",76.8,36.3
