ward name,borough,All households,One-person household,No people answered the question,No religion (may include religion not stated),One religion only (may include religion not stated),One religion and no religion (may include religion not stated),Two or more religions  (may include no religion and religion not stated),One-Person-household-Percent,No religion percent,One religion household  percent,One religion and one no religion percent,Multi religion household
City of London (aggregated),City of London,4916,2507,108,899,809,512,81,51.0,18.3,16.5,10.4,1.6
Abbey,Barking and Dagenham,1459,378,22,82,854,74,49,25.9,5.6,58.5,5.1,3.4
Alibon,Barking and Dagenham,3322,734,75,474,1644,328,67,22.1,14.3,49.5,9.9,2.0
Barking Riverside,Barking and Dagenham,3379,708,71,397,1909,208,86,21.0,11.7,56.5,6.2,2.5
Beam,Barking and Dagenham,2708,550,57,267,1542,235,57,20.3,9.9,56.9,8.7,2.1
Becontree,Barking and Dagenham,3077,617,73,354,1659,289,85,20.1,11.5,53.9,9.4,2.8
Chadwell Heath,Barking and Dagenham,4812,1236,100,528,2407,400,141,25.7,11.0,50.0,8.3,2.9
Eastbrook & Rush Green,Barking and Dagenham,3060,748,60,464,1369,352,67,24.4,15.2,44.7,11.5,2.2
Eastbury,Barking and Dagenham,5206,1154,106,634,2697,496,119,22.2,12.2,51.8,9.5,2.3
Gascoigne,Barking and Dagenham,3793,949,68,329,2129,212,106,25.0,8.7,56.1,5.6,2.8
Goresbrook,Barking and Dagenham,4720,1043,89,716,2312,488,72,22.1,15.2,49.0,10.3,1.5
Heath,Barking and Dagenham,3294,950,58,451,1492,278,65,28.8,13.7,45.3,8.4,2.0
Longbridge,Barking and Dagenham,3765,758,73,204,2351,275,104,20.1,5.4,62.4,7.3,2.8
Mayesbrook,Barking and Dagenham,5332,1323,96,710,2601,483,119,24.8,13.3,48.8,9.1,2.2
Northbury,Barking and Dagenham,4415,1151,80,275,2514,260,135,26.1,6.2,56.9,5.9,3.1
Parsloes,Barking and Dagenham,5306,1299,102,798,2476,520,111,24.5,15.0,46.7,9.8,2.1
Thames View,Barking and Dagenham,1854,480,36,179,928,176,55,25.9,9.7,50.1,9.5,3.0
Valence,Barking and Dagenham,5202,1155,109,876,2413,517,132,22.2,16.8,46.4,9.9,2.5
Village,Barking and Dagenham,4554,1275,94,540,2160,395,90,28.0,11.9,47.4,8.7,2.0
Whalebone,Barking and Dagenham,4648,998,85,426,2613,377,149,21.5,9.2,56.2,8.1,3.2
Barnet Vale,Barnet,7164,2262,185,992,2549,965,211,31.6,13.8,35.6,13.5,2.9
Brunswick Park,Barnet,5969,1403,170,688,2764,750,194,23.5,11.5,46.3,12.6,3.3
Burnt Oak,Barnet,7315,1671,205,629,3868,711,231,22.8,8.6,52.9,9.7,3.2
Childs Hill,Barnet,7914,2630,290,800,3079,758,357,33.2,10.1,38.9,9.6,4.5
Colindale North,Barnet,4596,1276,128,429,2232,401,130,27.8,9.3,48.6,8.7,2.8
Colindale South,Barnet,7418,2155,206,783,3300,733,241,29.1,10.6,44.5,9.9,3.2
Cricklewood,Barnet,3836,1136,107,362,1700,402,129,29.6,9.4,44.3,10.5,3.4
East Barnet,Barnet,6958,1817,192,1015,2823,910,201,26.1,14.6,40.6,13.1,2.9
East Finchley,Barnet,6810,2188,160,1211,2049,990,212,32.1,17.8,30.1,14.5,3.1
Edgware,Barnet,7121,1645,266,427,4003,495,285,23.1,6.0,56.2,7.0,4.0
Edgwarebury,Barnet,4078,835,153,270,2343,323,154,20.5,6.6,57.5,7.9,3.8
Finchley Church End,Barnet,7570,2201,268,753,3303,722,323,29.1,9.9,43.6,9.5,4.3
Friern Barnet,Barnet,7512,2188,195,1122,2831,930,246,29.1,14.9,37.7,12.4,3.3
Garden Suburb,Barnet,5037,1402,190,501,2235,453,256,27.8,9.9,44.4,9.0,5.1
Golders Green,Barnet,5148,1612,270,288,2443,378,157,31.3,5.6,47.5,7.3,3.0
Hendon,Barnet,8266,2463,271,586,3953,666,327,29.8,7.1,47.8,8.1,4.0
High Barnet,Barnet,4851,1388,138,753,1717,678,177,28.6,15.5,35.4,14.0,3.6
Mill Hill,Barnet,6717,1781,199,606,3199,670,262,26.5,9.0,47.6,10.0,3.9
Totteridge & Woodside,Barnet,5638,1328,224,645,2558,608,275,23.6,11.4,45.4,10.8,4.9
Underhill,Barnet,4802,1307,131,700,1902,634,128,27.2,14.6,39.6,13.2,2.7
West Finchley,Barnet,7722,2229,220,1116,2872,959,326,28.9,14.5,37.2,12.4,4.2
West Hendon,Barnet,6453,1873,146,491,3050,607,286,29.0,7.6,47.3,9.4,4.4
Whetstone,Barnet,4314,1211,125,542,1806,505,125,28.1,12.6,41.9,11.7,2.9
Woodhouse,Barnet,5608,1645,170,690,2223,648,232,29.3,12.3,39.6,11.6,4.1
Barnehurst,Bexley,4420,993,94,891,1641,728,73,22.5,20.2,37.1,16.5,1.7
Belvedere,Bexley,6764,1868,137,1164,2653,808,134,27.6,17.2,39.2,11.9,2.0
Bexleyheath,Bexley,6435,1770,151,1162,2269,995,88,27.5,18.1,35.3,15.5,1.4
Blackfen & Lamorbey,Bexley,6220,1439,154,1322,2137,1085,83,23.1,21.3,34.4,17.4,1.3
Blendon & Penhill,Bexley,5978,1318,149,1273,2163,1012,63,22.0,21.3,36.2,16.9,1.1
Crayford,Bexley,6420,1852,105,1327,2149,908,79,28.8,20.7,33.5,14.1,1.2
Crook Log,Bexley,6194,1539,132,1179,2279,949,116,24.8,19.0,36.8,15.3,1.9
East Wickham,Bexley,6039,1388,125,1094,2402,919,111,23.0,18.1,39.8,15.2,1.8
Erith,Bexley,5035,1489,82,923,1899,536,106,29.6,18.3,37.7,10.6,2.1
Falconwood & Welling,Bexley,6203,1441,135,1203,2360,969,95,23.2,19.4,38.0,15.6,1.5
Longlands,Bexley,4215,1299,91,818,1312,637,58,30.8,19.4,31.1,15.1,1.4
Northumberland Heath,Bexley,4065,931,89,836,1555,580,74,22.9,20.6,38.3,14.3,1.8
St Mary's & St James,Bexley,4383,1157,80,827,1568,696,55,26.4,18.9,35.8,15.9,1.3
Sidcup,Bexley,6694,2224,117,1293,1948,1022,90,33.2,19.3,29.1,15.3,1.3
Slade Green & Northend,Bexley,4722,1185,74,892,1959,499,113,25.1,18.9,41.5,10.6,2.4
Thamesmead East,Bexley,5721,1613,106,733,2613,491,165,28.2,12.8,45.7,8.6,2.9
West Heath,Bexley,5876,1244,125,1032,2487,875,113,21.2,17.6,42.3,14.9,1.9
Alperton,Brent,4482,917,98,216,2761,306,184,20.5,4.8,61.6,6.8,4.1
Barnhill,Brent,3757,877,93,199,2131,316,141,23.3,5.3,56.7,8.4,3.8
Brondesbury Park,Brent,5580,1972,124,690,1964,664,166,35.3,12.4,35.2,11.9,3.0
Cricklewood & Mapesbury,Brent,5651,1931,124,677,2035,643,241,34.2,12.0,36.0,11.4,4.3
Dollis Hill,Brent,7230,1886,241,366,4004,544,189,26.1,5.1,55.4,7.5,2.6
Harlesden & Kensal Green,Brent,8025,2590,190,811,3410,829,195,32.3,10.1,42.5,10.3,2.4
Kenton,Brent,5700,1138,117,210,3615,365,255,20.0,3.7,63.4,6.4,4.5
Kilburn,Brent,7652,2969,172,1033,2535,777,166,38.8,13.5,33.1,10.2,2.2
Kingsbury,Brent,3832,850,101,223,2251,274,133,22.2,5.8,58.7,7.2,3.5
Northwick Park,Brent,3796,750,88,122,2364,285,187,19.8,3.2,62.3,7.5,4.9
Preston,Brent,3866,849,82,156,2362,255,162,22.0,4.0,61.1,6.6,4.2
Queens Park,Brent,7023,2155,189,1325,2131,1022,201,30.7,18.9,30.3,14.6,2.9
Queensbury,Brent,5275,982,142,177,3433,345,196,18.6,3.4,65.1,6.5,3.7
Roundwood,Brent,6249,2036,145,436,2991,459,182,32.6,7.0,47.9,7.3,2.9
Stonebridge,Brent,7202,2086,199,386,3862,511,158,29.0,5.4,53.6,7.1,2.2
Sudbury,Brent,4302,897,86,149,2636,323,211,20.9,3.5,61.3,7.5,4.9
Tokyngton,Brent,2813,544,62,66,1827,210,104,19.3,2.3,64.9,7.5,3.7
